iter	Logloss
0	0.6885362625
1	0.6836432457
2	0.6795835972
3	0.6751708984
4	0.6716473103
5	0.6678103447
6	0.6629257202
7	0.6586950302
8	0.6548729897
9	0.6514718056
10	0.6471547127
11	0.6435887337
12	0.639305687
13	0.6359009743
14	0.6320248604
15	0.6287216187
16	0.6248654366
17	0.6221217155
18	0.617686224
19	0.6141097546
20	0.6105560303
21	0.6073666096
22	0.6040091515
23	0.6004056931
24	0.5977034569
25	0.5942470074
26	0.5913866043
27	0.588424778
28	0.5856125832
29	0.5826182365
30	0.579816103
31	0.57680583
32	0.5744534492
33	0.5715394974
34	0.5680138588
35	0.5659086227
36	0.5631607533
37	0.5606945038
38	0.5575376511
39	0.5546483994
40	0.5518248081
41	0.549175024
42	0.5463485241
43	0.5440561771
44	0.5422605515
45	0.540472126
46	0.5372851372
47	0.5353178978
48	0.5332470894
49	0.5311991692
50	0.5284103394
51	0.5255044937
52	0.5224666119
53	0.5197432518
54	0.5175798893
55	0.5146868706
56	0.5115502357
57	0.509319067
58	0.5069245338
59	0.5049484253
60	0.5029519081
61	0.5009660721
62	0.4992723465
63	0.4973690987
64	0.4954649925
65	0.4933263779
66	0.4917358398
67	0.489787817
68	0.4877476692
69	0.4854203701
70	0.4837569237
71	0.4818292618
72	0.4794980526
73	0.4771217346
74	0.4747810364
75	0.4727473259
76	0.4707387447
77	0.4689137936
78	0.4662650108
79	0.4635718822
80	0.4622959137
81	0.4604437828
82	0.4587345123
83	0.4564121246
84	0.454545784
85	0.4523777962
86	0.4509948254
87	0.4490934849
88	0.4474089146
89	0.445080328
90	0.4427431107
91	0.4410770416
92	0.4394133568
93	0.4375084877
94	0.4360124111
95	0.4344442844
96	0.4328228951
97	0.4312877655
98	0.429600811
99	0.4273741722
100	0.4262391567
101	0.4240336418
102	0.4233057022
103	0.4218598366
104	0.4203678131
105	0.4188177586
106	0.4174478531
107	0.4159265518
108	0.4144975185
109	0.4131171703
110	0.4118786335
111	0.410638237
112	0.4092430115
113	0.4071892738
114	0.4056726933
115	0.4043721199
116	0.402940464
117	0.4018242359
